time,Native Heap(MB),Dalvik Heap(MB)
18:43:04,30.79,33.54
18:43:06,21.62,33.56
18:43:08,21.85,31.56
18:43:10,21.77,31.18
18:43:12,21.95,32.05
18:43:14,21.98,33.14
