time,FPS
18:43:03,0.00
18:43:04,0.00
18:43:05,1.87
18:43:06,33.01
18:43:07,41.78
18:43:08,3.75
18:43:09,11.30
18:43:10,48.98
18:43:11,11.64
18:43:12,0.00
18:43:14,50.18
18:43:15,23.08
