"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug直播 Live","","1","IOS直播页面报错","[""Error""]","6584592518348800	","7.5.2","12.4","2019/08/05 09:25:00","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/40b876684055706e0090da3a120b497f.png","","","sm","in","iPhone 7 Plus"
"Bug KTV","","1","不能进入my room页面提示错误","[""This PROBLEM is in my room aur all rooms I m ""]","6755399374113911	","7.4.8","8.1.0","2019/08/05 09:29:10","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/159d14c491156f0182455e65f56064cc.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/944713764792e16bf4fbdeb5b1d2ac89.jpg","","sm","en","SM-J710F"
