问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
KTV,,1,房间等级降级,This is my 7th reply related to my room as my room was in level 4 but all sudden it came to level 3 please update ;,"5348024337443895	",7.4.0,Android 7.1.2,2019/5/4 3:06,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/31b9537c808ad02e5c79225ac1855e92.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/cf42950bb5162baa6d216576e8e882b8.jpg,
KTV,T38936,1,KTV无法评论,I am unable to comment in any party room. Because the comment var doesn't show up to me. I am using Nokia 6.1 Plus. Kindly solve this problem. I have complaint the same problem months ago also. But could not got any response from you guys.;Kindly solve this immediately or I will Delete my account on This app;,"5910973792416414	",7.3.3,Android 9,2019/5/4 3:00,,,,
KTV,,1,进入房间后闪退,Since you guys gave new update it's very hard to go in rooms now and phone is being hanged way too much after every 5 mins i have to go out this is getting worse now.;I'm going to give you guys 1 star in play store as you guys never reply to anyone.;,"5066549352998126	",7.4.0,Android 7.0,2019/5/1 17:03,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1946b2abe393bb13e80b03b2a056bb8c.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d770d465ee5ad401fc50fbd3526843ed.jpg,
个人页,,1,following与实际数量不符,"Dear sir, ;            I have reported many time for this problem.i have followed to 2 ids but 3 showing on my main profile so please help me to solve this problem sir??;","3634823282	",7.4.0,Android 6.0.1,2019/5/1 13:50,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/95c65df1959aa30f41404a15f6d9609c.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/27aec98f439e7e600e17eb6baa1b95c1.jpg,
抢唱,,1,抢麦失败,"I dont have a screenshot it's to fast. All I'm saying is after we take the mic to finish the song, there are a few songs, where we only sing a few words, then fail. In the Celine Dion song, I then have to sing two words and always get a failed. ;No photo;","6755399379652413	",7.4.0,Android 9,2019/5/2 10:23,,,,
消息,,1,messages看不到历史消息,I am unable to see my old messages. Only today's messages are reflecting in my account.;,"6473924131688896	",7.4.0,Android 9,2019/5/1 7:27,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/42f64d86fcf993d9d6312d91f1176871.jpg,,
消息,T40939,1,inbox打不开,"kindly I have a big problem with my starmaker ..in messages and notifications page , when I open messages and notifications page..its come empty and white?..I  attached for you screenshot for the problem.. I have many messages I can't open it.. this problem start with me before 2 weeks and still not solved ??;I need your help to solve this problem plz?;this are my account info?;..13292298907 SID?;... my username/?????Unknown_007???;version / StarMakerLite_Android_7.4.0;hope to solve it ;","5348024336521940	",7.4.0,Android 9,2019/5/1 5:12,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/7a9ac5164114f0d12ba3ad2a587bd175.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/0d7b016746b45a9bd015574fa309c8bf.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d42a74eaccf26e63f2f7736432c671b0.jpg
作品/发布,,1,collab不能自动发送给粉丝,The invitaion for collab to the followers is not being sent through my I'd..so it remains unjoined ....earlier it was ok but nowadays the invitation is not being sent. Plzz help ;I made a collab today ..no invitation was sent ..screenshots are being atrached ;,"4785074600037441	",7.4.0,Android 8.1.0,2019/5/3 15:04,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/0ae7260b0eee7a67a0ff3af70c102d21.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/62f26373cbfdfdd5288fbabf9cf60576.jpg,
