问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
消息,"T27333
T35827",1,inbox打不开,"When m trying to open my message inbox dat tym my starmaker frequently stoped,i couldnt open my inbox since 6 mothns,so kindely plz fixed it;","3634594233	",7.3.2,Android 6.0,2019/4/4 3:35,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/81d74e1be1e4986ccb6b0e18a32d2171.jpg,,
消息,"T27333
T35827",1,inbox打不开,The messages on message page/message inbox page do not open. In fact the starmaker site gets HELD UP/stuck on opening this page. One has to exit starmaker & then reenter site for anything else.;,"6473924132246296	",7.3.2,Android 8.1.0,2019/4/4 1:13,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/b6c516837e1e5e8913f75fd189a7f3fe.jpg,,
详情页,,1,粉丝数异常,I have 48 followers by counting but i have been seen only 40 follwers ???? why this is happening ;Plz do something as soon as possible ;,"3377699721107706	",7.3.2,Android 6.0.1,2019/4/4 2:17,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/9c1bac1aeacfcf6a33f61663e1104962.jpg,,
