"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","错误码-10","[""Hi. Dear pl pl pl rectify the problem of mine I cannot share since so many days i hv being facing this problem.  its showin error 10"",""kindly do the needfull ASAP""]","4785074600685869	","7.4.8","8.1.0","2019/08/14 12:35:52","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/665677ba717c36bd3d1afae5084ccf95.jpg","","","sm","en","SM-G615F"
"Bug其他 Other bug","","1","H5页面空白","[""Sir my another account id is main id and it is not working properly. No any option like FEEDBACK, FAMILY option is opening so i am sending you message from this id."",""Plz help....It's been so long I an not SINGING in party rooms and my friends told me to msg u from another id."",""PLZ HELP HELP HELP....I HAVE MANY FRIENDS ON STARMAKER.""]","5066549359152575	","7.3.2","8.1.0","2019/08/14 14:45:18","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/6e0bc56463b087f0c56db194f3274543.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/029d6f5e6e46c1aa1249a9c0cf83afc2.jpg","","sm_in","en",""
"Bug KTV","","1","错误码100404","[""Can't get in any of party room "",""It keeps exiting the room  "",""I can't sing in any of party room "",""It's my main\/original account "",""It's my humble request plzzz look for the problem \ud83d\ude4f""]","8725724278116552	","7.4.9","8.1.0","2019/08/14 17:18:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/521a02eb2800e5128a0b5a8997059414.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/fdc4a235beb48d83351976f54f2a1fa4.jpg","","sm_in","en","vivo 1812"
