"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","错误码-10","[""FAMILY GROUP EXIT ERROR PROBLEM.."",""GIVE ME SOLUTION.."",""FAMILY ID..101094.."",""MASSEGE CLEAR PROBLEM..""]","6192448701712942	","7.5.1","7.1.2","2019/09/10 08:22:22","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/ece7afed357adc6919f38514a1eca7b1.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/de26610c6b7914dde46474feacaba95a.jpg","","sm","en","Redmi Y1 Lite"
"Bug其他 Other bug","","1","错误码-10","[""I have updated star amader app to it's latest version, but group information is still showing error 10""]","5348024337797511	","7.5.1","9","2019/09/10 14:45:39","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d5d7357722a0e93740709d581afdde30.jpg","","","sm","en","POCO F1"
"Bug其他 Other bug","","1","不能绑定第三方","[""This message is coming when try to connect.ky sm account to facebook.""]","5066549358032261	","7.5.1","9","2019/09/11 09:11:30","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2f62ca329691dbfe029435283295cac6.jpg","","","sm","en","Redmi Note 5 Pro"
