"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","用户vip充值页面货币与用户所在国家不符","[""I want to change this one,picture is showing saudi riyal""]","5066549358558516	","7.4.8","12.3.1","2019/06/28 12:06:26","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/5186608f05621deb7eea003787bf06e3.png","","","sm","en","iPhone9,4"
"Bug个人页 Profile","","1","不能取消关注 can't unfollow","[""Dear sir\/madam"",""My name is sushmita singh. Iam using star maker app from since 1year."",""My sid 13270851510.sir i am facing a problem one person in my following list named abhi his id was blocked. I want to remove him from my following list but i can't. "",""So please kindly remove his id from my following list"","".... "",""I also attended screenshot of those id. "",""Thank youyou"",""Regards"",""Sushmita singh. "",""""]","3635214125	","7.4.5","8.1.0","2019/06/28 11:47:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/95062033694e5a88786e61524cc6cfeb.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/51751a7dd7223e98d9a54c3b448bec46.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/64830eecc1bdbcef3f10122f86edaadb.jpg","sm","en","Redmi Note 5 Pro"
"Bug个人页 Profile","","1","不能取消关注自己","[""Continue... "",""Yes, I've tried that many times. But, it never shows the options of follow and unfollow. I'm jotting a screenshot of the page that I get when I click on my profile. Thanks""]","4785074600427608	","7.4.6","9","2019/06/28 11:55:08","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/794f813c33646a611351d02fa17676c9.jpg","","","sm","en","POCO F1"
"Bug作品/发布Cover/Publish","","1","collab不能自动发送给粉丝 collab can't be sent automatically to fans","[""Hello Team Greetings. "",""When ever I post the songs my followers and others are not getting a notification and the problem is same when i post a collab songs the person who created the collab is not getting any notification, please help me fix this issue.""]","5348024334395254	","7.4.6","9","2019/06/28 07:10:41","BUG","","","","sm","en","SM-A505F"
"Bug作品/发布Cover/Publish","","1","用户发布的collab在歌曲的collab页面不显示","[""Sir I log in New SM after that my cover collab not showing in the list. ""]","1970324837912726	","7.4.6","6","2019/06/28 11:28:49","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2c507a90494b4a6dc7ea2d6b4fc77220.jpg","","","sm","en","vivo 1601"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""I am your 2 years old customer and my I'd is closed in every 2 minutes why\ud83d\ude21\ud83d\ude20\ud83d\ude21\ud83d\ude20\ud83d\ude21\ud83d\ude20\ud83d\ude21\ud83d\ude20\ud83d\ude21\ud83d\ude20\ud83d\ude21\ud83d\ude20\ud83d\ude21\ud83d\ude20\ud83d\ude20\ud83d\ude20\ud83d\ude20\ud83d\ude20\ud83d\ude20""]","6192448701281337	","7.4.5","7.1.1","2019/06/28 06:48:33","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/5260f6a5fbce327aa5d14db6ab790d86.jpg","","","sm","en","SM-G550FY"
