"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug KTV","","1","IOS错误码2不能正常唱歌","[""What does that mean why?????""]","844424931945560	","7.6.9","13.1.3","2019/12/02 13:22:26","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/15d1105ff492a31d5c6108973e4f5ce7.png","","","sm","en","iPhone 8 Plus"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""Tiba tiba berhenti""]","6755399379515850	","7.5.7","8.1.0","2019/12/02 13:39:28","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/274047ebc15e1f6d1609d4e2adf6e535.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/56ac33a533c7d8f8822e622a6cdfe0c8.jpg","","sm","in","Redmi 6A"
