问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
详情页,,1,无送礼评论按钮,Hello sir ;When I enter in any party room I am unable to send any gifts.because gifts options is not available when I enter in any party room.i use Samsung A50 model.this issue is all Samsung A50 model series. So please solve this problem soon.;,"4222124650924129	",7.3.3,Android 9,2019/4/22 8:48,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/c08f2f9e49dc7fd9abd317d5d2eff173.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4c0fc5c534fbb9b0613105167a2b20db.jpg,
详情页,,1,不能修改个人信息,I cannot change my profile info.....name status or anything;,"5629499489881493	",7.4.2,iOS 12.1.3,2019/4/22 3:32,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/948839e02234ab6885422e0a4216441c.png,,
