"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug作品/发布Cover/Publish","","1","歌曲无法播放","[""I've upload my cover. but i can't even open it. when i try to open my other songs, i've not found any problems. here is the link of my trouble cover "",""https:\/\/m.starmakerstudios.com\/share?recording_id=281474978602513&app=sm&from_user_id=281474978622470&share_type=copyLink"",""when i try to open that link in my browsers, it's opened perfectly without any issues""]","281474978622470	","7.4.8","9","2019/09/03 09:57:42","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/446a6c3206840538fd4474c923cd2620.jpg","","","sm","en","Redmi Note 7"
"Bug其他 Other bug","","1","错误码-10","[""Sir I can not share party room of sm friends now..this problem has made 10 days .so my task is interested.i am owner of room 130610 ...my room lvl is 4.my I'd...9598886918..this is my mob no also""]","5066549354153953	","7.5.0","7","2019/09/03 12:43:45","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/77457d5742c2b86a57a85f08cfe74073.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/9f521320e3bf10c4696ef6cf2fd2674d.jpg","","sm","en","Z60"
"Bug其他 Other bug","","1","家族长看不到用户的申请请求","[""Hi, I am not able to join SKP family, it always shows applied but family owner is not able to see the request.""]","3638243901	","7.5.1","9","2019/09/03 13:35:34","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/93614d09221c1855082f0bf0da882ef7.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1e84497e3ed919a1009185fd71712240.jpg","","sm_in","en","Redmi Note 7 Pro"
"Bug其他 Other bug","","1","家族长看不到用户的申请请求","[""Hi, I am not able to join SKP family, it always shows applied but family owner is not able to see the request.""]","6473924136276808	","7.5.1","9","2019/09/03 13:36:13","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/efe2c1bccd7a7974bf65ef1f91b505ea.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/28e1cba65ac5988ec1aa8042224ff153.jpg","","tvp","en","Redmi Note 7 Pro"
