"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug榜单Rank","","1","rank record历史记录不显示","[""I lost my Ranking records and counting....help me to show my Ranking records on my profile as well as."",""""]","4785074602250942	","7.4.6","9","2019/07/03 11:07:35","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d96324521f97639f63a5d8e65014a7d2.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f26ca2762f5d5a555f92b3c6331c6589.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/c02dceb1a33215b263e302a40a98dec4.jpg","sm","en","Redmi Note 5 Pro"
"Bug其他 Other bug","","1","paytm充值页面报错","[""Hlo I'm recharging from 5 days I'm not able to recharge with paytm always I'm getting this message plz look into the matter tysm""]","4785074599804384	","7.4.6","6","2019/07/03 11:02:50","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/947cc85ddb97d2cb0af5a5aa8eecad60.jpg","","","sm_in","en","Micromax Q386"
"Bug个人页 Profile","","1","不能关注其他用户提示错误","[""When I'm following or follow back to someone it shows to me unknown error why?can u please send me a solution for this problem?why I cannot following other person?""]","4222124652251828	","7.4.6","6","2019/07/03 10:59:21","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/6ffaba6dfd20890048aa2d2a6f3e6293.jpg","","","sm","en","Amosta 3G5"
