"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug KTV","","1","KTV错误码6002","[""cant enter family room"",""""]","281474979242686	","7.7.1","12.4.1","2019/12/10 20:37:57","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a448390f96e70d8c728303a90bf36cd7.jpeg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/682fd69080207926e4a271b8f2fb8e6a.png","","sm","en","iPhone SE"
"Bug KTV","","1","KTV错误码6002","[""Hi, I\u2019m writing you again for the error I get when I try to access my room. I followed all your advices on changing my network: I changed WiFi, I tried with 4G, but with any success. I even tried with a different device (with a different account on it), but neither my friend can access my room."",""At this point I am sure that the problem is from your side. "",""I am kindly asking you to solve this issue asap, otherwise I will not renew my VIP subscription next week. "",""Thanks in advance.""]","6755399442105436	","7.7.1","13","2019/12/16 09:05:56","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2573193aa2f6e5eaed0a89d6da8b4d20.png","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2b39512b2d3a6edb14f2a2e8cde496f8.png","","sm","it","iPhone 7"
"Bug KTV","","1","KTV错误码730005","[""koin gratis gk bs d ambil dn untuk.msk.d.room jg.gk.bs mhn diperbaiki""]","1125899909735366	","7.5.9","5.1.1","2019/12/16 13:04:45","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/fcfc89f9b7aed4babe0d281a853afc7b.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/0240ac81f9d2b7111daeaac8a4dd2a04.jpg","","tvp","in","SM-J500G"
