问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
作品/发布,T38936,1,歌曲无法评论,"Messages, comments and reply not sending. please rectify the problem;","6755399445792539	",7.3.3,Android 9,2019/4/23 6:59,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/60911d093818d39db8c58fa82316fb98.jpg,,
作品/发布,T40750,1,上传歌曲消失,"I have changed my phone,but all my songs in draft are not showing, please rectify the problem.;","6755399445792539	",7.3.3,Android 9,2019/4/23 6:54,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/66f03543cc4a374f1cc6547af238b03a.jpg,,
作品/发布,,1,collab不能自动发送给粉丝,My problem is this i made a collab but it doesnt appear on invite or mention area they can only see it on friend following area. This shot is from my friend for i cannot see it if i’m the one who made the collab! Btw i press invite all my followers before posting but its still doesnt appear on invite it happens to me a lot of times!some of my friends message me about this matter too they also have same problem;,"6755399378059006	",7.4.2,iOS 12.2,2019/4/22 17:35,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/443aeb287aaa78a03cb891dde30fb098.jpeg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/429676712df3a54bc7d904c102765e6a.jpeg,
作品/发布,T38936,1,歌曲无法评论,Keyboard is hiding submit button while commenting on songs(OS Android Oreo). Therefore not able to comment. Please check.;,"5910973797948022	",7.3.3,Android 9,2019/4/22 11:43,,,,
作品/发布,T38936,1,歌曲无法评论,My keyboard is not showing in the party room's.So I am not able to type anything neither send gifts in party rooms.Also while commenting on any posts comments get hidden under keyboard so not able to see what I am typing.please look into the matter.;,"6755399375965386	",7.3.3,Android 9,2019/4/22 11:17,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a13437165153f0fd28d293d6f36def16.jpg,,
抢唱,T40254,1,无抢麦按钮,I failed to took the mic because there no button has Been shown;;,"281474977725137	",7.3.3,Android 7.0,2019/4/22 10:44,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/855a5dde05ef79959f90920cb68f09f4.jpg,,
详情页,,1,不能取消关注,Yesterday I follow someone by mistake and his id is banned permanently so I want to unfollow them but I can't unfollow the id so please help me resolve this issue if possible then please u unfollow the id ;,"5629499487583676	",7.3.3,Android 7.1.2,2019/4/22 10:20,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/19f6307613bd4e78ab412df3e5dc911a.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8c76a4de4caf65dd6e7f8de5cddde875.jpg,
