"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug直播 Live","","1","直播码10090101","[""\u064a\u0627 \u062c\u0645\u0627\u0639\u0647 \u0627\u0644\u062e\u064a\u0631 \u0627\u0646\u0627 \u0627\u0648\u0627\u062c\u0647 \u0645\u0634\u0643\u0644\u0629 \u0645\u0646 \u0632\u0645\u0627\u0646 \u0648\u0644\u0627 \u0627\u062d\u062f \u0631\u062f \u0644\u064a \u0628\u0623\u062c\u0627\u0628\u0629 \u0644\u0645\u0648\u0636\u0648\u0639\u064a"",""\u0627\u0646\u0627 \u0644\u0645\u0627 \u0627\u0633\u0648\u064a \u0628\u062b \u0627\u0644\u0646\u0627\u0633 \u062a\u0636\u064a\u0641\u0646\u064a \u064a\u0648\u0645 \u0627\u062e\u0644\u0635 \u0645\u0627 \u0627\u062d\u0635\u0644 \u0648\u0644\u0627 \u0648\u0627\u062d\u062f \u0645\u0646 \u0627\u0644\u0644\u064a \u0636\u0627\u0641\u0648\u0646\u064a \u060c \u064a\u0639\u0646\u064a \u0628\u0623\u062e\u062a\u0635\u0627\u0631 \u0642\u0627\u0639\u062f \u0627\u062e\u0633\u0631 \u0627\u0636\u0627\u0641\u0627\u062a \u0648\u0627\u062a\u0639\u0628 \u062d\u0627\u0644\u064a \u0639\u0644\u0649 \u0627\u0644\u0641\u0627\u0636\u064a \u064a\u0627\u0644\u064a\u062a \u062a\u0633\u0627\u0639\u062f\u0648\u0646\u064a "",""\u0648\u0627\u0644\u064a\u0648\u0645 \u0633\u0648\u064a\u062a \u0627\u0644\u0628\u062b \u0644\u0645\u062f\u0629 \u0627\u0643\u062b\u0631 \u0645\u0646 40 \u062f\u0642\u064a\u0642\u0647 \u0648\u0637\u0644\u0639 \u0644\u064a \u0627\u0644\u0635\u0648\u0631\u0629 \u0627\u0644\u0644\u064a \u062a\u0634\u0648\u0641\u0648\u0646\u0647\u0627 \u062d\u0636\u0631\u0627\u062a\u0643\u0645 "",""\u0627\u0646\u0627 \u0627\u0639\u0627\u0646\u064a \u0645\u0646 \u0647\u0630\u0627 \u0627\u0644\u0645\u0648\u0636\u0648\u0639 \u0627\u0631\u062c\u0648\u0643\u0645 \u0633\u0627\u0639\u062f\u0648\u0646\u064a"",""\u0648\u0634 \u0627\u0644\u062d\u0644 \u0633\u0627\u0639\u062f\u0648\u0646\u064a"",""\u062c\u0648\u0627\u0644 \/ 0530089130""]","1125899907067487	","7.4.5","8.0.0","2019/07/18 19:15:23","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/aa67ffc63530e0357de0ab1d7136efeb.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/089e06759e63c4df7c9f478ebe2e75ab.jpg","","tvp","ar","Lenovo K8 Note"
"Bug个人页 Profile","","1","作品页面看不到送礼人的名字和图标","[""Something going wrong with me I can't understand why don't show gifter DP when they gave me gifts n after some times it's left so please help me n give it back in my post please help about this thank you so much \ud83d\ude4f\ud83d\ude4f\ud83d\ude4f\ud83d\ude4f\ud83d\ude4f ""]","6755399377773360	","7.3.3","6","2019/07/19 05:27:11","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1c5260dc5f07271b98dc63a0580e6735.jpg","","","sm","en",""
