问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
作品/发布,T39026,1,上传歌曲消失,I have 59 rank records. All the covers having these rank records used to show up previously but suddenly all these covers have stopped showing up and only 6 of these covers are showing up. Kindly resolve this issue. The screenshots are attached in this regard.;,"4785074599756671	",7.3.2,Android 6.0.1,2019/4/8 9:23,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/dc1d74410e382c40cb0ac4791c4a22aa.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/9915150c15575af7693949bbace8044e.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/300d86aae1820b5a8109812b4e2c9eb9.jpg
详情页,,1,关注数异常,"Dear sir, ;            I have followed to just 2 people but always 3 ids seeing in my main profile page.please help me to solve this problem sir;","3634823282	",7.3.2,Android 6.0.1,2019/4/8 8:43,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/cda84966db86893fdb0c8318d42a3ad2.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/dfdda7bb5dac4965cad3b8222c35e948.jpg,
详情页,,1,无法取消关注,Why I Cannot Unfollow This Two Ids Everytime When I Clicked On This I'd The Network Says Please Try Again Late Kindly Please Do Unfollow This Two Ids From My I'd ;,"6755399376020110	",7.3.2,Android 8.1.0,2019/4/8 5:52,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a0d944e31955c611c48143c3552bb907.jpg,,
作品/发布,,1,不能转发歌曲,"Hi, My songs are getting uploaded but they are not getting reposted. When I repost a song there is no activity even after several hours. This has been happening for the last few weeks. I am unable to repost my songs. ;","6473924134546755	",7.4.1,iOS 12.1.4,2019/4/8 5:39,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/aa91ce1a93b65d572a34c379bcc59e35.png,,
