"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","Bug其他 Other bug","[""Why my region is changing again and again from odisha to Delhi.. I don't even change my region then how's it changing automatically.. that's why my song isn't coming region viral in my own region.. Plz solve this problem as soon as possible.. ""]","1688849860812286	","7.4.6","6","2019/07/21 02:19:37","BUG","","","","sm","en","vivo 1601"
"Bug其他 Other bug","","1","Bug其他 Other bug","[""I have seen some songs as most popular in madhya Pradesh \/ telengana etc.  Why not showing most popular in Orissa??? ""]","6755399374861705	","7.4.7","6.0.1","2019/07/21 12:33:00","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/54616fe48653d8d7e87fc401628d1f6f.jpg","","","tvp","en","CPH1701"
"Bug消息 Message problem","","1","消息页面没有回复框","[""I still don't get the keyboard popup and text window to type messages from my Inbox. I can only send Song joining invitation and can't create any text message. "",""I am chasing you to clear this issue since long. "",""I can't make friends with Awesome people here and that's frustrating. I can't reply to anyone else in the inbox and so i look Rude and Arrogant. Please do the needful ASAP.""]","7599824371216997	","7.4.7","9","2019/07/22 06:35:28","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/da7a1cfad39d53a2db42f320cadd405b.jpg","","","sm","en","Nokia 6.1 Plus"
