问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
作品/发布,,1,歌曲的collab榜单没有该用户,User name：??Divi??Divya???? I havnt changed my network or login though same id i am using .... I ve attached the screen shot ... My issue is y have u removed my collab from listing against the songRowdy Baby - Dargling Suji - Maari 2 as i was on the top list as 1500 joinees were there for that collab now it is not being listed so nobody knws abt my collab....,"6473924131524655	",7.3.3,Android 8.1.0,2019/5/6 12:16,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a38dfaab1d0af3de86d6e49b908cf2bd.jpg,,
个人页,,1,粉丝数量无变化,Hello StarMaker officials;?? I am facing problem with my total number of followers list.. Followers fixed 49526 from last 15 days and decreased 49565 day by day... Now fixed no. 49526;?? but most important is my followers increased regularly... So why cap fixed on total no of followers... ?. ;?? please tell me why this problem... With my profile... I am very depressed due to this problem... Please do needful urgent basis?;,"6192448700892364	",7.4.0,Android 7.0,2019/5/4 5:37,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/b981ae6c339add57bea20d49d86d1169.jpg,,
KTV,,1,不能在房间合唱,My problem is I can't getting join with collab in the party room...plz do help ;,"7599824371889556	",7.3.2,Android 9,2019/5/6 8:32,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d9a3750daed3dfa03bd5e3d3c9790926.jpg,,
KTV,,1,不能在房间合唱,How much time for solve my problems....why i can't join with collab in the party room...plz do something urgently....thank you;,"5910973797246619	",7.3.2,Android 9,2019/5/6 3:51,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/94cd3c90057451e087fabf22452dfbcb.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a471bbab318648c25fb4da8215ea7cbc.jpg,
个人页,,1,不能取消关注,This is my 2nd complain to you regarding the same problem. I am unable to unfollow two accounts from my following list. (Marked in the attached picture);Please remove these two accounts from my following list.;,"6755399375507406	",7.3.3,Android 8.1.0,2019/5/3 11:26,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a9aa0e7dcd76c153ba39c84e94a5ed7a.jpg,,
作品/发布,,1,Vocals发送失败,Vocals won't upload/post STILL! Its been over a month since my last complaint about this exact issue but still unable to collect daily points due to bug in app! Please fix or reimburse my VIP purchase charge! Why am I spending money on something that doesn't work??;,"6473924129697060	",7.4.0,Android 8.0.0,2019/5/3 16:43,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/be7d09cd20e1203a6d83683784a045c7.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/6f2f9e27f7ef7a7c8a9a532142d89194.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/e54cf32b1f8d17b2ccb0ad93a21d29e6.jpg
消息,"T27333
T35827",1,inbox打不开,Messages not functioning properly pl help;,"6473924130533686	",7.3.3,Android 6.0.1,2019/5/5 11:13,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/fe5488af3d7b3c4640c1e035c528a8a8.jpg,,
