"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""Please solve it."","".......star maker not risponding......""]","3659174697742016	","7.4.7","7","2019/07/23 11:01:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/0b2279827abc97453365d60292372362.jpg","","","sm","en","vivo 1714"
"Bug KTV","","1","IOS房间内唱歌提示错误","[""What\u2019s wrong with my account???can I know ,please fix my problem.im badly missing to sing on room""]","5066549357756946	","7.5.1","12.3.1","2019/07/23 13:13:50","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1a9ceb38aca0fd09509dfbe6bcb30574.png","","","sm","en","iPhone 6s"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""TO WHOMEVER IT MAY CONCERN"",""Am getting this type of error. Pl look into matter and resolve this issue at the earliest. Tks. ""]","6755399375607743	","7.4.7","9","2019/07/23 17:33:38","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/0a5eec320e86515c5d4f234eb8b3acdc.jpg","","","sm","en","POCO F1"
