"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug作品/发布Cover/Publish","","1","IOS录制页面异常","[""Why can't I record songs while I carry the vip ""]","5348024338244827	","7.5.2","12.3.1","2019/08/10 08:49:23","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/c3bc9eae239c2dd5906065b18bd8bc01.png","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/03c54652b12d107ef64dab07b9ec9bf1.png","","sm","ar","iPhone 7 Plus"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""I didn\u2019t know where to message you anytime I go to a party room I can\u2019t hear anything and I can\u2019t sing I owe you money I ordered coins and it cleared I assumed it went through all of a sudden I\u2019m negative is that why things aren\u2019t work my app also crashes 50 times a day I will have your money in my bank tomorrow so I will pay what I owe I\u2019m sorry about that I honestly don\u2019t know why it would clear when the money isn\u2019t there please don\u2019t tell me too update my version I have the current version  y""]","3638688931	","7.5.2","12.4","2019/08/11 13:28:49","BUG","","","","sm","en","iPhone 6"
