"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug个人页 Profile","","1","不能上传背景图片","[""When I am on this screen and tap the plus icon in the center of the top right photo slot, nothing happens. I cannot add a picture. I am able to remove photos, but not add anything. Please help ""]","5348024339194771	","7.4.9","12.3.1","2019/07/08 11:42:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/b41ad1918259a64ae3a7d5c8c735b280.png","","","sm","en","iPad Pro (Cellular) 9.7"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""App getting stopped ever time plz do the needful"",""""]","5910973792484601	","7.4.6","7","2019/07/08 11:22:22","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/7f7291282b644949a3b2b3465a52446d.jpg","","","tvp","en","Redmi Note 4"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""Please...knp saya tidak bisa membuka live streaming saya ,tolong d perbarui kaka""]","4785074600644663	","7.4.6","6.0.1","2019/07/08 10:10:49","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/94d8e806f2b7804b851e2a2e6d27fec8.jpg","","","sm","in","Redmi 4X"
