"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug消息 Message problem","","1","消息页面没有回复框","[""I can't send a message on starmaker""]","1970324837118917	","7.6.1","10","2020/01/23 02:59:46","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/28a8614fb46d8c87dab52847137d570f.jpg","","","sm","en","Nokia 6.1 Plus"
"Bug消息 Message problem","","1","消息页面没有回复框","[""Bagai mana cara balas pesan masuk.. Mohon di bantu saya mau balas pesan masuk dari teman kok tidak bisa mohon di bantu ya admin.""]","4785074601349973	","7.6.1","7","2020/02/18 16:20:00","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/18d5b1f65617dcf2cd61b53369036e80.jpg","","","sm","in","i55K"
