"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","送礼提示错误","[""Sir im not sanding pad gift y""]","6192448701129745	","7.4.8","9","2019/09/01 16:02:40","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/757b858f3cd284aac9fa7bd68c9b05e7.jpg","","","sm","en","vivo 1819"
"Bug消息 Message problem","","1","消息页面空白Message page blank","[""Inbox is not working I can't open messege it will blank plse help me soon ""]","2533274791108541	","7.5.0","6.0.1","2019/09/02 18:56:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/b06a81cffb32ae5de6898511783786b8.jpg","","","sm","en","SM-J700F"
"Bug作品/发布Cover/Publish","","1","作品发布地区与排名地区不符","[""why my all songs are coming in bihar region ranking..when my location is on..... and i am from jharkhand..plz fix it..i am sending the settings too""]","1688849861589061	","7.5.0","8.1.0","2019/09/03 06:45:20","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/99f6ce21945810702cc16169f2746f5d.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2906afeb472498f3d7567b691bf57eea.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/40ede6d03a7ea755e60d1e3a655c16a7.jpg","sm","en","CPH1823"
