问题分类,task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
作品/发布,,1,cover无法播放,"Hi,;I am unable to load/play songs on my IOS latest version of app, however, I am able to play the same tracks on desktop version. ;PS- I am not a VIP if that’s what is causing problem. Please find attached screenshot for your reference. ;Getting the same error for all the other Collabs from my friends.;","5685650992136192	",7.4.1,iOS 12.1.4,2019/4/3 4:41,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/75241dde8a86b04be0072a9311cbf605.png,,
作品/发布,T38936,1,歌曲无法评论,I cannot write comment on any cover?.. after the Android pie update.. I'm click on comment bar but Not showing the comments box... please fix it?.. I hope fix this problem very quickly..;,"2251799813861873	",7.3.2,Android 9,2019/4/2 20:32,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/6f132ca8186571f3db36f47dbc9e959d.jpg,,
作品/发布,T38936,1,歌曲无法评论,I am unable to comment and reply plz solve thi otherwise I will uninstall this app;,"5066549357103881	",7.3.2,Android 7.1.2,2019/4/3 9:17,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/32c49699cc5a6bdfeb4153dfcd5d0220.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/b267cf1071fa8d6e71b2d3a590cb192d.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/9617f73d7237317494bbb5e7e53638de.jpg
作品/发布,T39026,1,上传歌曲消失,"I can't find my recordings, collabs, please provide I have installed new version am not getting my recordings please I hope my humble request must be fullfied thanking you Tabu thabrees ;","5910973796766786	",7.3.2,Android 6.0,2019/4/3 10:44,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/bc28a8f737edd5801a1bece0bf3af9b4.jpg,,
作品/发布,T39026,1,上传歌曲消失,"hi, I am not able to see any of my covers in moments and covers tab. Please help.;;","5910973798818953	",7.3.2,Android 8.1.0,2019/4/3 7:18,,,,
消息,,1,显示异常,Number of unread @mentions keeps on goin up even though I have opened and read the messages. Is there a way to clean/delete old items? ;,"3377699720595607	",7.4.1,iOS 12.1.4,2019/4/2 14:42,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4a7741ab38e6b6f67eb4cea587b8261d.png,,
消息,,1,消息打不开,"When I touching on the message option it is found that, the application is not responding, why it is?;","5629499489806390	",7.3.2,Android 7.0,2019/4/3 8:38,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f083c4a1a7ec6d2b70403c01952e9bc8.jpg,,
消息,,1,显示异常,Hi guys ;It says on main screen 187 mentions ;When I go into page to view it is only loading about 20 and not all of those ;Brendan ;,"6473924129784401	",7.4.1,iOS 12.1.4,2019/4/2 11:27,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/89f440c726be08a49ab8afc432f18c7c.png,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a50a1b973bbaa4b5d069223953e7d47c.png,
