"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug作品/发布Cover/Publish","","1","IOS保存草稿页面歌曲总时长显示为00:00","[""Every time I sing a song the app crashes and my song is lost! Look at the screenshots as proof! It says \u201c0\u201d minutes instead of the full song, and it saves the draft as 0.01MB. This is completely USELESS! I paid $39.99 for what??? Refund me please!!! I already contacted Apple, they said you must issue the refund! The app is unusable! Refund ASAP!""]","7318349396046795	","7.5.3","12.3.1","2019/08/21 08:50:01","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/e14adb9c9b6841418ef456b9372eb66f.png","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1edcaaf5001651fb60dc249f991de3ac.png","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4ef4259bc4ca369b3a263ff298cab849.png","sm","en","iPhone XS Max"
"Bug KTV","","1","IOS房间内唱歌提示错误","[""Here is the Screenshot! even i have good connection!""]","2251799814812000	","7.5.4","12.4","2019/08/21 17:13:10","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/da3a9d267576ce5af51e2eeedcb2f6c7.png","","","sm","en","iPhone 7 Plus"
"Bug其他 Other bug","","1","链接Twitter提示错误","[""I am connected to Twitter it\u2019s not showing on my StarMaker profile it keeps throwing me off but on my Twitter account it shows! Still I can\u2019t collect my tickets fix it! I\u2019m soulsongtress and my Gmail is my log in g+ is not available in USA I HAVE TRIED HOURS AND NOW MADE DOUBLE ACCOUNT THAT I TEQUEST TO DEACTIVATE W MY PHONE AND FACEBOOK IM ATTACHED TO SOCIAL ITS ON YOURSIDE!""]","3636584210	","7.5.5","12.4","2019/08/21 21:49:58","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f63adc7ccf31605f8e6e373d88f01cbe.jpeg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3cc018b8366bfafd612c83d5f9d9deb0.png","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/08b376d1574aee8d3446eb9180074527.png","sm","en","iPhone XR"
"Bug KTV","","1","KTV错误码103004201","[""Failed to upload my songs always like this""]","5066549357524163	","7.4.9","7.1.1","2019/08/22 03:12:28","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/96e9f5b6e26c8d948b56eb308a3790c7.jpg","","","sm","en","SM-J250F"
"Bug KTV","","1","IOS房间内唱歌提示错误","[""Hi there, since 15-August, myself & my wife is not able to sing a song in the room and getting attached error message."",""Also when we are in room, we are not able to listen other person songs completely, it always hangs in between."",""I thought there may be some network problem however network is totally fine even my you tube videos are running without any lagging."",""I am having very high speed internet wifi connection at home."",""Hence appreciate if you can guide me in solving this issue.""]","5066549356303317	","7.5.5","12.4","2019/08/22 07:35:52","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/08971fa972b6445f60ca64d36710b6e0.png","","","sm","en","iPhone X"
