"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","错误码-10","[""Yes I've changed my login name, and everyone I try to share a cover I posted, or when I try to share my live broadcast, or when trying to invite friends to come to my party room I keep getting the same screenshot that I've enclosed error message code 10. Also, since I've changed my login name, I am unable to see any inbox messages from the people who always have inboxed me. Please help me to get this fixed. Do I have to uninstall and reinstall the app again???""]","5348024336977072	","7.4.8","9","2019/08/07 01:13:11","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/591f0ff6c06213915715fb028f8bb4f6.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/29830bd13a4178290b89c7a5cfb5918b.jpg","","sm","en","Pixel 2 XL"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""Mera inbox hang ho raha hai msg opption touch karte he ye hang ho jata hai jabse maine sm update kiya kai tabse yahi ho raha hai plz help me\ud83d\ude4f""]","2533274792090533	","7.4.8","6.0.1","2019/08/07 04:16:22","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/bc46036309a35f705d7ae2cd806f28a0.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4b2e931f3c154473ef812dfb7dd54f7d.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/cdc2ea8f7e753b579792016f1a6c3dfc.jpg","sm_in","en","SM-J700F"
"Bug消息 Message problem","","1","消息页面没有回复框","[""I am not doing chat any friends here because no option show write message please solved this"",""M using Nokia 6.1 plus cell phone""]","5629499488987831	","7.4.8","9","2019/08/07 06:49:55","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8241330b33b078eaca2e36e889c93dbf.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/cf7f4ed21092351b146dad05d8edb766.jpg","","sm_in","en","Nokia 6.1 Plus"
"Bug其他 Other bug","","1","错误码-10","[""pl pl pl pl do something . m unable to share showing error 10.  This effects my points""]","4785074600685869	","7.4.8","8.1.0","2019/08/07 08:00:31","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/b5697e0d4e3049bbabb7bbe54fde75c6.jpg","","","sm","en","SM-G615F"
"Bug其他 Other bug","","1","错误码-10","[""I canot env friends""]","6192448702583364	","7.4.8","6","2019/08/07 11:59:26","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1610b97f1cefd198b03c14660241b387.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/86ff85f9afc37ce21ebc23dab8c556c8.jpg","","sm","en","ALE-L21"
"Bug KTV","","1","KTV错误码103004999","[""Selalu dan selalu tidak bisa mengantri bwt naynyi di room tlg di perbaiki""]","4785074601303639	","7.4.6","6","2019/08/07 12:37:12","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/27e872c58de26eb9e845afaa9c404b20.jpg","","","sm","in","Coolpad E502"
"Bug其他 Other bug","","1","错误码-10","[""DEAR SM"",""After my SARGAM was auto updated  since yesterday evening...I m.unable to share my posts With my followings...through the CHAT option in SHARE.  Whenever i m clicking Chat to share my post...it is showong UNKNOWN ERROR 10.  I had written to u abt it yesterday too but unfortunately got no feedback frm u . I heartily request u to please look into this matter n fix it at earliest possibility please. WE singers r here to.sing n share so that others can listen our post. Kindly do the needful""]","5348024333938925	","7.4.8","8.0.0","2019/08/08 05:23:18","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/28c2d3297c4e501c7249dd0fafa80bbd.jpg","","","sm_in","en","SM-G570F"
