"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","错误码-10","["""",""Hello dear sir\/ mem"",""Getting Issue on my Family \"" Group \"","",""Family Id : 100653"",""Family Name : Masti"",""When i Open Group info,  There are showing error-10,"",""Can't access that page,  check the screenshot provided below""]","6755399378867205	","7.4.9","9","2019/09/16 11:54:15","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/c213e42b09516f09f904523e5ee33e8d.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/ab951a1b8d9947a5b28ca0e7f47804c7.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/59d2155957cd9c95ef3b097a16126fa6.jpg","sm","en","SM-J600G"
"Bug其他 Other bug","","1","错误码-10","[""Hello dear sir\/ mem"",""Getting Issue on my Family \"" Group \"","",""Family Id : 100653"",""Family Name : Masti"",""When i Open Group info,  There are showing error-10,"",""Can't access that page,  check the screenshot provided below""]","6755399377207826	","7.5.1","8.1.0","2019/09/16 12:42:55","BUG","","","","sm","en","vivo 1726"
"Bug其他 Other bug","","1","错误码-10","[""Dear sir what is error-10 ,there is no options in my family group please verify it""]","6473924131225642	","7.5.1","7","2019/09/17 08:50:53","BUG","","","","sm","en","Moto C"
