"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""Help me please because every time not respon from starmaker ""]","5066549356214066	","7.4.2","6","2019/06/24 12:30:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4b9475f89e6b61e2fa34d2a6ee31bd50.jpg","","","sm","in",""
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""I canot use this app ferequently plz solve my problem""]","6473924135369891	","7.4.6","6.0.1","2019/06/24 11:55:43","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/bec80c09a0d6c76cc77e406be6ca5f4b.jpg","","","sm_in","en","SM-J700F"
"Bug作品/发布Cover/Publish","","1","加入合唱时提示错误","[""Hello \ud83d\ude4f"",""From last 2 days my friends and follwers sending me messages that they are trying but couldn't join few of my collabs. Every time they are trying to do so, collabs stops loading at 99% and giving a error message...  \""SORRY, AN ERROR OCCURED. PLEASE EXIT RECORDING AND TRY AGAIN\""."",""So I tried to find out the matter and got the same message.\ud83d\ude1e (Screenshot attached herewith)."",""I will be greatful if you kindly look into the matter and help resolving this issue.\ud83d\ude4f"",""Regards "",""Monimilan.dk""]","5910973792761166	","7.4.5","8.1.0","2019/06/24 12:10:44","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/fce22f5ebd40bb245767098bf35a6c1a.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4f9d5bc3e7872726998d7b097919b82d.jpg","","sm","en","Lenovo TB-8504X"
"Bug KTV","","1","IOS房间内唱歌提示错误","[""I'm using WiFi...but whenever it starts my turn to sing come up SOMETHING WENT WRONG..I've try to another KTV but that things still going like that..am I banned to sing in KTV??""]","5348024336704416	","7.4.7","12.3.1","2019/06/24 12:22:43","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f17d38c1df0fe9890bc22f692dbc0db0.png","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/142ab21699d5964b44d0d54cc1292717.png","","sm","en","iPhone 6s"
"Bug作品/发布Cover/Publish","","1","加入合唱时提示错误","[""Mengapa Saya tidak bisa kolaborasi video?"",""Hp saya iphone 5""]","5066549354839056	","7.4.7","10.3.3","2019/06/24 12:33:07","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/daa6764f3a587756c80484abccbead6f.PNG","","","sm","in","iPhone 5"
