"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug其他 Other bug","","1","错误码-10","[""Why I am not able to leave the chat group ? What is unknown error 10 ??"",""""]","6755399448340399	","7.5.1","7.1.2","2019/09/11 19:06:39","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/90ea00be639c6c2dd4b37d53e623f443.jpg","","","sm_in","en","Redmi Y1"
"Bug其他 Other bug","","1","错误码-10","[""I have my own family group in SM sme problem in our family group msg..not working clear chat history it's showing Network error 10...my family I'd 101233""]","5348024339834847	","7.5.1","9","2019/09/12 10:14:45","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4b5c2efe0ec4c6659b56ebcf6b974234.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/abb7b127739769af11eb785e0d46107e.jpg","","sm","en","CPH1923"
"Bug其他 Other bug","","1","错误码-10","[""No solution my family id 101928 no chat box error solution please my family is broken member""]","5066549353348058	","7.5.2","9","2019/09/15 16:38:45","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/1188862674ec4bc593709d0034573105.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8aedcbe3605d863f659aa6b316603ea0.jpg","","sm_in","en","LLD-AL10"
