"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug KTV","","1","IOS房间内唱歌提示错误","[""I can\u2019t join vid collab it says error and sometimes it hangs or there are times no voice and delayed mouth opening in vid ""]","5066549355637241	","7.4.9","12.3.1","2019/07/24 03:55:40","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/fca502ed2782a3769d934a3dd1f2eca1.png","","","sm","en","iPhone 6"
"Bug其他 Other bug","","1","提示没有授权","[""It is my friend I'd showing not authorized showing please help us \ud83d\ude11it her second I'd having this type problem please solve this problem""]","6192448702548832	","7.4.7","7","2019/07/24 05:12:43","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/22406ee2cb063593be4e1cbaa6f6497b.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f0c32d75aaa9803ad05aa97ef1d22495.jpg","","sm","en","Redmi Note 4"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""So every time I try to watch any stream from friends or ordinary people on the app it just crashes and that information pops up"",""This has been going on for some time and I feel embarrassed about not being able to honor my friends""]","5066549355528579	","7.4.8","7.1.1","2019/07/24 10:28:27","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/0cf1777f8f7858f8118fc267e25d3c77.jpg","","","sm","pt","SM-J510MN"
