"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug消息 Message problem","","1","消息页面没有回复框","[""I update the new version but still not working ...pls do the needful""]","1970324839287399	","7.6.0","7.1.1","2020/01/09 10:45:56","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/aae66ff3e467e5aeb5fe9ca7a52cf328.jpg","","","sm","en","M7 Power"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""I can't join a video song with anyone.  If I join a video song with anyone, that song stops. Please help me Sir. ""]","7318349397134148	","7.6.0","8.1.0","2020/01/09 12:12:41","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d208d92bb680377fa40a5aa3c8305b3b.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/52c5b157f6e004ba52729b07dba03fb8.jpg","","sm","en","vivo 1908"
