问题分类,Task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
KTV,T38936,1,KTV无法评论,"Hello dear starmaker team,;           I use ""Samsung Galaxy M20""phone,in this phone I add my starmaker account,and my problem is in party room,in multi mode I see my keyboard,gifting and room Info but in solo mode i can't see keyboard,gifting and room info so how to activate keyboard,gifting and room info in solo mode,it's possible?I need this 3 option in solo mode and multi mode.plz help me.;          I sent your team,solo mode and multi mode screenshot.i hope I need my 3 option.;Thank you;;","5910973796974353	",7.3.2,Android 8.1.0,2019/4/11 14:35,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/710419f47ce0ed54c5c6fc06c82df872.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/e5df31f5dcaac49360411cf67e44ab69.jpg,
KTV,T38936,1,KTV无法评论,I cant make a comment nor send a gifts;,"3637173033	",7.3.3,Android 9,2019/4/11 14:11,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a5b92c7d5730b8dc03d702933d085c53.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/26d5dfeb68e8ac5737ab2c3c844d6ba8.jpg,
KTV,T38936,1,KTV无法评论,"I am use MOTOROLA ONE POWER MObile;I am uneble to send live comment on line singing,;the live comment massege typing opt  is not showing dowen side,screen shot is attached,;Plz update starmekar app ;Thanks;Sunil Kumar;Delhi ,india;","5629499491488126	",7.3.3,Android 9,2019/4/11 12:04,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a90b8233ecd8df7e0f653ebb56d2ec3b.jpg,,
作品/发布,,1,歌曲分享失败,My songs are getting uploaded. But no one can open the links which I have shared. Pls do the needful ;,"6473924131691750	",7.4.2,iOS 12.2,2019/4/15 6:43,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/2a563591e4372d21e6a777b09e26e8df.png,,
作品/发布,T38936,1,歌曲无法评论,I couldn't give comment to any one in star maker.... I type comments but I couldn't send that....;;,"6473924129992918	",7.3.3,Android 8.1.0,2019/4/15 1:24,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a742125e84335cc227809316424b8903.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/820d35a1ddc27fcc0cff16f180e64fa9.jpg,
作品/发布,T40750,1,上传歌曲消失,"The songs (Solo & Duets) recorded & saved in draft were found  disappeared since yesterday morning (i.e. 14/04/2019).;2/ Such disappearances have happened earlier also doing December, 2018 & July, 2018. These were reported to Star Maker authority in time.;3/ No explaination for these happenings or measures for retrieving the disappeared songs in both the past cases & preventing such happenings were observed.;4/ Once again I request you to do  to needful & retrive disappeared songs.;Thanks;;","5348024336736734	",7.3.2,Android 7.1.1,2019/4/15 6:37,,,,
抢唱,T40254,1,无抢麦按钮,"No...it is not woking.... Problem is when i enter this feature,songs comes and grab button rapidly comes and goes rapidly right side.so i can not tap the grab button.If continuously my fingers tap that point where grab button then once in a while it works but that time  perhaps my voice do not get to anyone and challenge fail.;","3635956372	",7.3.3,Android 9,2019/4/15 2:12,,,,
抢唱,T40254,1,无抢麦按钮,no grab button present !!!;,"3940649674830878	",7.3.3,Android 9,2019/4/11 13:34,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3f59d58e39dd42f8e0b68f5245a822eb.jpg,,
