问题分类,task,数量,问题名称,问题描述,UID,版本,系统,日期,进度,图片链接1,图片链接2,图片链接3
KTV,,1,KTV无法评论,I am unable to access chat while in party rooms. I have tried everything and looked everywhere online along with asking the Admin from rooms I'm in and still nothing. Please help;;,"3659174697831126	",7.3.2,Android 9,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/3c37cea85510ce9cde5ed07af4647659.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d1c3344894c1c3059a02f90f2194215b.jpg,
H5,,1,H5 KTV报错,"As músicas n?o est?o indo pra tendência da sala 129205.  Por favor corrigir. Diz que foi concluído, mas n?o aparece a notifica??o do sistema pra a pessoa que foi indicada. Por favor resolver esse problema;","3637713396	",7.3.2,Android 8.1.0,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/337b9c4eb0ae99f4db504fa21ee57aa9.jpg,,
作品/上传,,1,无法上传歌曲,"Please send me a solution to upload my song, I am try all of way, Updating also star maker and all of apps in my mobile, Uploading problem still now, All time its upload 60 percent to 100 but then show this screen shot.... Please help me, I love singing and share to star maker, I am use this app last 2 years. Now I am really disappointed!!!!!! ;","5348024334366160	",7.3.2,Android 5.1.1,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/4bf09d053bdabf8d365977f7a3d797aa.jpg,,
作品/上传,,1,上传歌曲消失,I can't find song in draft. While posting song I had issue and later i could not find in draft too. How can i recover deleted drafts. I have not cleared chase ;,"8444249301871685	",7.3.2,Android 8.1.0,,,,,
抢唱,,1,无抢麦按钮,i am unable to take the micke becouse the grabe is not showing me;,"3636033316	",7.3.2,Android 7.1.1,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/83848d9a95608e6d9277373b94580153.jpg,,
消息,,1,消息数字不能重置,Mentions Notifications number won’t reset;,"4785074601979955	",7.4.1,iOS 12.1.4,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/17c1ea2518d810d04c0e95c569b32ea9.jpeg,,
抢唱,,1,无抢麦按钮,This feature is not working in my account.there is no option of grab..so i can not attempt any song;,"3635956372	",7.3.2,Android 9,,,,,
作品/上传,,1,上传歌曲消失,"Actually,i lost my songs today morning timing between 6-7am ,i lost almost 12 songs in which no.of songs are treanded songs in last 2 months,i lost that song unexpectedly kindly provide or recover my songs in my profile back that songs list i listed below,i lost 12 songs but i have 10 songs which i listed and remember;Tujh se naraz ;Tu zaroori;Tum hi ho;O jana na jana;Is quader pyar h ;Bhut pyar kerty h;Maire khuabo mai jo aye;Tu jo nhi h toh;Tare h barati;Hume tumse pyar kitna;Kindly recover ?;","5629499488128226	",7.3.2,Android 7.0,,,,,
详情页,,1,无法关注,I have neither 500 followers in one day or 1000 total. And I’m still getting an error. And the 500/1000 cap is BS. There are folks on this app that have thousands of followers? Explain that ???;,"4785074601889582	",7.4.1,iOS 12.1.4,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8e04d23ab6620f4764b0d87946218c7a.png,,
消息,,1,inbox显示异常,"I do not understand as to why my inbox crashes.  I have been clearing the cache...   I just reinstalled my app on 27.3.2019  With just 400+ messages received by 1.4.2019 my inbox doesn't open.  How does one respond to the posts shared by followers.  Everytime starmaker app is upgraded, instead making it easier for us, you guys are making it a worst experience for us.  My message section is blank.  Doesn't display anything. ;","3634487164	",7.3.2,Android 5.1,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8ffe9a9f88d0e2ad17c738a6d463b673.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/068f8fd09076755d36e75c802487dba0.jpg,
详情页,,1,无法关注,"Hello Team Starmaker, ;These are screenshots have a look on this and tell me why is this happening I am following only one person and there it is showing me 2,  please update your server. ;","6473924130013793	",7.3.2,Android 8.1.0,,,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/ff5b49f952161ada1765231d0d486183.jpg,https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d9b966bb94f49ac37cd0a126df12d1a4.jpg,
