"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug KTV","","1","KTV错误码103004999","[""tidak bisa nyayi di room  bagemana caranya supaya bisa mengatari kode eror ""]","6755399375555250	","7.4.7","8.0.0","2019/07/15 09:32:29","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/c2573833d4abad8280ee4581e6f57078.jpg","","","sm","in","SM-C7000"
"Bug个人页 Profile","","1","不能上传背景图片","[""As I reported that photos are not being added in profile album.here is screen shot for same.while pressing + sign it is not responding.pl resolve.thnx ""]","5629499489845634	","7.4.9","12.3.1","2019/07/15 10:00:47","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/f5c72fad3cd8e2f48aa2d5691fd684fb.png","","","sm","en","iPad Air2"
"Bug作品/发布Cover/Publish","","1","歌曲无法播放","[""I am not able to play my this Song..""]","5629499486787169	","7.4.5","6","2019/07/15 09:30:09","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/44aeb7f82c85a88c9d673b3c7e361e64.jpg","","","sm","en","Lenovo A7020a48"
"Bug KTV","","1","KTV错误码103004999","[""Please help me.. my account cant stay in party room""]","5348024336249022	","7.4.7","8.1.0","2019/07/15 09:11:16","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/a45bb8bf7cfb9fe02415803148c31ca9.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/702eda85a6450a5005c60ca8c3dc8ad7.jpg","","sm_id","in","CPH1823"
