"问题分类","Task","数量","问题名称","问题描述","UID","版本","系统","日期","进度","图片链接1","图片链接2","图片链接3","app_name","app_language","device"
"Bug系统问题System problem","","1","崩溃闪退无响应 Crash, flashback and no response","[""Respected Sir"",""As per your direction I was do same again n again . But still not solve my problem . I can't sing any song in the party room as well as not posted any cover. Plz look into the matter \ud83d\ude4f"",""""]","6473924135531336	","7.6.3","10","2020/03/05 15:20:43","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/8ee566f4d3257f32a6eae090e0398906.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/48d5bba088cb6733481b5db1af6d414d.jpg","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/6a0b7e0b16931d914fc2f1ab4ae1b299.jpg","sm","en","RMX1851"
"Bug消息 Message problem","","1","消息页面没有回复框","[""I can't reply the message because there's no colum for type the message. "",""Please, help me. ""]","8725724280112927	","7.6.3","10","2020/03/06 01:28:33","BUG","https://improxy.starmakerstudios.com/tools/im/0/production/promotion/other/d9aa1159b809a8d0d0f51010010c7b97.jpg","","","sm","in","Nokia 6.1 Plus"
